Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Global Nav,Chrome 74.0.3729.169,,,2019-05-27 19:23:12,2019-05-27 19:27:45,4m - 32.875s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Cadillac Repair Network,Chrome 74.0.3729.169,,,2019-05-27 19:23:13,2019-05-27 19:23:32,19.776s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:23:13,2019-05-27 19:23:22,8.761s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-27 19:23:22,2019-05-27 19:23:23,1.166s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:23:23,2019-05-27 19:23:27,4.156s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/li_Collision""))",Chrome 74.0.3729.169,,,2019-05-27 19:23:27,2019-05-27 19:23:28,0.291s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/a_Cadillac Aluminum Repair Network""))",Chrome 74.0.3729.169,,,2019-05-27 19:23:28,2019-05-27 19:23:31,3.673s,PASSED
"click(findTestObject(""Object Repository/New Folder/Global nav/span_GENUINE GM REWARDS""))",Chrome 74.0.3729.169,,,2019-05-27 19:23:31,2019-05-27 19:23:31,0.139s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-27 19:23:31,2019-05-27 19:23:32,1.058s,PASSED
,,,,,,,
Test Cases/GGMP/GlobalNav/Collision/Collision Parts,Chrome 74.0.3729.169,,,2019-05-27 19:23:32,2019-05-27 19:23:46,13.933s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-27 19:23:33,2019-05-27 19:23:39,6.408s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-27 19:23:39,2019-05-27 19:23:43,4.081s,PASSED
