Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sitemap,Chrome 74.0.3729.169,,,2019-05-28 19:38:10,2019-05-28 19:42:40,4m - 30.317s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Collision/Cadillac,Chrome 74.0.3729.169,,,2019-05-28 19:38:10,2019-05-28 19:38:29,18.863s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:38:11,2019-05-28 19:38:20,8.895s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:38:20,2019-05-28 19:38:21,1.358s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:38:21,2019-05-28 19:38:24,3.125s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Cadillac/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:24,2019-05-28 19:38:24,0.171s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Cadillac/span_Cadillac Aluminum Repair Network""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:24,2019-05-28 19:38:25,0.945s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Cadillac/span_Contact your local Cadillac Certified Service Center""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:25,2019-05-28 19:38:28,2.653s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:38:28,2019-05-28 19:38:29,1.197s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Collision/Collision Parts,Chrome 74.0.3729.169,,,2019-05-28 19:38:29,2019-05-28 19:38:46,16.730s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:38:30,2019-05-28 19:38:36,6.067s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:38:36,2019-05-28 19:38:37,1.201s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:38:37,2019-05-28 19:38:41,4.265s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Collision Parts/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:41,2019-05-28 19:38:41,0.166s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Collision Parts/span_Collision Parts""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:41,2019-05-28 19:38:43,1.486s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Collision Parts/span_Sheet metal""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:43,2019-05-28 19:38:45,2.357s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:38:45,2019-05-28 19:38:46,0.951s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Collision/Paint,Chrome 74.0.3729.169,,,2019-05-28 19:38:46,2019-05-28 19:38:59,12.887s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:38:46,2019-05-28 19:38:52,5.619s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:38:52,2019-05-28 19:38:53,1.141s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:38:53,2019-05-28 19:38:57,3.732s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Paint/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:57,2019-05-28 19:38:57,0.136s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/Paint/span_Touch-Up Paint""))",Chrome 74.0.3729.169,,,2019-05-28 19:38:57,2019-05-28 19:38:58,1.075s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:38:58,2019-05-28 19:38:59,0.963s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Collision/The Genuine Difference,Chrome 74.0.3729.169,,,2019-05-28 19:38:59,2019-05-28 19:39:15,15.939s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:38:59,2019-05-28 19:39:05,5.636s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:39:05,2019-05-28 19:39:06,1.130s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/sitemap"")",Chrome 74.0.3729.169,,,2019-05-28 19:39:06,2019-05-28 19:39:09,3.262s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/span_The Genuine Difference""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:09,2019-05-28 19:39:09,0.191s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Collision/span_visit crashrepairinfocom""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:09,2019-05-28 19:39:14,4.519s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:39:14,2019-05-28 19:39:15,0.974s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/For Professionals/Collision Repair Manuals,Chrome 74.0.3729.169,,,2019-05-28 19:39:15,2019-05-28 19:39:31,15.767s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:39:15,2019-05-28 19:39:21,5.849s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:39:21,2019-05-28 19:39:22,1.131s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:39:22,2019-05-28 19:39:26,3.419s,PASSED
"click(findTestObject(""SiteMap/For Professionals/Collision Repair Manuals/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:26,2019-05-28 19:39:26,0.149s,PASSED
"click(findTestObject(""SiteMap/For Professionals/Collision Repair Manuals/span_Collision Repair Manuals""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:26,2019-05-28 19:39:27,0.910s,PASSED
delay(3),Chrome 74.0.3729.169,,,2019-05-28 19:39:27,2019-05-28 19:39:30,3.029s,PASSED
"verifyElementText(findTestObject(""SiteMap/For Professionals/Collision Repair Manuals/h1_Collision repair manuals for GM vehicles""), ""Collision repair manuals for GM vehicles"")",Chrome 74.0.3729.169,,,2019-05-28 19:39:30,2019-05-28 19:39:30,0.071s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:39:30,2019-05-28 19:39:31,0.961s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/LAD/Advanced Search,Chrome 74.0.3729.169,,,2019-05-28 19:39:31,2019-05-28 19:39:49,18.534s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:39:31,2019-05-28 19:39:37,6.026s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:39:37,2019-05-28 19:39:38,1.132s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:39:38,2019-05-28 19:39:41,3.222s,PASSED
"click(findTestObject(""Object Repository/SiteMap/LAD/Advanced Search/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:41,2019-05-28 19:39:41,0.167s,PASSED
"click(findTestObject(""Object Repository/SiteMap/LAD/Advanced Search/span_Advanced Search""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:41,2019-05-28 19:39:43,1.647s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:39:43,2019-05-28 19:39:48,5.002s,PASSED
"verifyElementText(findTestObject(""SiteMap/LAD/Advanced Search/h1_Locate a Genuine GM Parts dealer""), ""Locate a Genuine GM Parts dealer"")",Chrome 74.0.3729.169,,,2019-05-28 19:39:48,2019-05-28 19:39:48,0.089s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 19:39:48,2019-05-28 19:39:49,1.014s,PASSED
,,,,,,,
Test Cases/GGMP/Sitemap/Powertrain/Engine COmponents,Chrome 74.0.3729.169,,,2019-05-28 19:39:49,2019-05-28 19:40:07,17.309s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 19:39:50,2019-05-28 19:39:55,5.610s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 19:39:55,2019-05-28 19:39:56,1.175s,PASSED
"navigateToUrl(""https://www.genuinegmparts.com/"")",Chrome 74.0.3729.169,,,2019-05-28 19:39:56,2019-05-28 19:39:59,3.073s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/a_Sitemap""))",Chrome 74.0.3729.169,,,2019-05-28 19:39:59,2019-05-28 19:40:00,0.138s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/span_Engine Components""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:00,2019-05-28 19:40:00,0.844s,PASSED
delay(5),Chrome 74.0.3729.169,,,2019-05-28 19:40:00,2019-05-28 19:40:05,5.003s,PASSED
"verifyElementText(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/h1_Keep putting power down with Genuine GM Parts""), ""Keep putting power down with Genuine GM Parts"", CONTINUE_ON_FAILURE)",Chrome 74.0.3729.169,,,2019-05-28 19:40:05,2019-05-28 19:40:05,0.065s,PASSED
"click(findTestObject(""Object Repository/SiteMap/Powertrain/Engine Components/span_CAMSHAFT PHASERS""))",Chrome 74.0.3729.169,,,2019-05-28 19:40:05,2019-05-28 19:40:06,0.109s,PASSED
